ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor,Days,Room,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist
19047,PLPT,3030,101,Discussion,0,Staff,We 7:00pm - 7:50pm,Gibson Hall 141,Contemporary Political Thought,,Open,2,20,0
19048,PLPT,3030,102,Discussion,0,Staff,We 5:00pm - 5:50pm,Monroe Hall 114,Contemporary Political Thought,,Open,12,20,0
19049,PLPT,3030,103,Discussion,0,Staff,We 6:00pm - 6:50pm,Nau Hall 141,Contemporary Political Thought,,Open,4,20,0
19051,PLPT,4060,1,SEM,3,Lawrie Balfour,Tu 2:00pm - 4:30pm,Bryan Hall 332,Politics & Literature,,Closed,15,15,0
19052,PLPT,4070,1,SEM,3,George Klosko,MoWe 2:00pm - 3:15pm,Bryan Hall 330,Liberalism and Its Critics,,Wait List,15,15,5
19050,PLPT,4500,1,SEM,3,Jennifer Rubenstein,Tu 2:00pm - 4:30pm,Gibson Hall 441,Special Topics in Political Theory,The Politics of Emergencies,Open,3,9,0
19053,PLPT,4500,2,SEM,3,Rita Koganzon,Th 2:00pm - 4:30pm,Ruffner Hall 125,Special Topics in Political Theory,Conservative Political Thought,Open,3,15,0
11600,PLPT,4999,1,IND,3,Sidney Milkis,TBA,TBA,Senior Thesis,,Open,0,20,0
13299,PLPT,5500,1,SEM,3,James Ceaser,Tu 3:30pm - 6:00pm,New Cabell Hall 064,Special Topics in Political Theory,Founders and Leaders of the World,Open,4,9,0
18976,PLPT,8500,1,SEM,3,Murad Idris,Tu 2:00pm - 5:00pm,Gibson Hall 296,Special Topics in Political Theory,Islam and Political Theory,Open,3,9,0
10465,PLPT,8998,1,IND,12-Jan,Philip Potter,TBA,TBA,"Non-Topical Research, Preparation for Research",,Open,0,50,0
10466,PLPT,8999,1,IND,12-Jan,Philip Potter,TBA,TBA,Non-Topical Research,,Open,0,50,0
10467,PLPT,9998,1,IND,12-Jan,Philip Potter,TBA,TBA,"Non-Topical Research, Preparation for Doctoral Research",,Open,1,50,0
10468,PLPT,9999,1,IND,12-Jan,Philip Potter,TBA,TBA,Non-Topical Research,,Open,1,50,0
13143,POL,1220,1,Lecture,3,Stanley Stepanic,MoWeFr 12:00pm - 12:50pm,New Cabell Hall 064,Introduction to Polish Language,,Open,2,16,0
19318,POL,2220,1,Lecture,3,Dariusz Tolczyk,TuTh 12:30pm - 1:45pm,New Cabell Hall 064,Intermediate Polish Language,,Open,0,10,0
19552,PORT,2050,1,Lecture,3,Lilian Feitosa,MoWeFr 1:00pm - 1:50pm,Bryan Hall 328,Intensive Portuguese for Speakers of Spanish and other Romance Languages,,Open,2,20,0
10469,PORT,2120,1,Lecture,4,Lilian Feitosa,MoWeFr 11:00am - 11:50am,New Cabell Hall 283,Intermediate Intensive Portuguese,,Open,3,20,0
17810,PORT,2120,2,Lecture,4,Lilian Feitosa,MoWeFr 12:00pm - 12:50pm,New Cabell Hall 283,Intermediate Intensive Portuguese,,Open,0,20,0
19615,POTR,4559,1,Lecture,3,Eli Carter,We 5:00pm - 7:30pm,Dell 2 101,New Course in Portuguese Translation,,Open,5,20,0
12388,PPL,4010,1,Lecture,3,Matthias Brinkmann,Tu 6:00pm - 8:30pm,Gibson Hall 141,Research Seminar,,Open,12,30,0
12389,PPL,4010,2,Lecture,3,Katharine Jackson,Th 4:00pm - 6:30pm,Physics Bldg 210,Research Seminar,,Open,12,30,0
18545,PSHM,4300,101,Lecture,3,Maria Kronenburg,Mo 7:00pm - 9:45pm,Web-Based Course-No class mtgs,"Introduction to Population Health: Programs, Policy & Epidemiology",,Open,0,25,0
18546,PSHM,4400,101,Lecture,3,Maria Kronenburg,Tu 7:00pm - 9:45pm,Web-Based Course-No class mtgs,Introduction to Research in the Health Sciences,,Open,0,25,0
19417,PSHM,4600,101,Lecture,3,Mark Erath,Tu 7:00pm - 9:45pm,Web-Based Course-No class mtgs,Service Excellence in Health Care: Quality Improvement & Customer Service,,Open,0,25,0
18549,PSHM,4700,101,Lecture,3,Mark Erath,We 7:00pm - 9:45pm,Web-Based Course-No class mtgs,Economics and Finance of Health Care,,Open,0,25,0
18547,PSHM,4950,101,Lecture,2,Maria Kronenburg,Th 7:00pm - 9:45pm,Web-Based Course-No class mtgs,Capstone II: Health Sciences Management Project Implementation,,Closed,0,0,0
18548,PSHM,5300,501,Lecture,3,Maria Kronenburg,Mo 7:00pm - 9:45pm,Web-Based Course-No class mtgs,"Population Health: Programs, Policy, and Epidemiology",,Open,0,25,0
18550,PSHM,5600,501,Lecture,3,Mark Erath,Tu 7:00pm - 9:45pm,Web-Based Course-No class mtgs,Service Excellence in Health Care: Quality Improvement & Customer Service,,Open,0,25,0
