ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor,Days,Room,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist
10824,BIOL,8999,5,IND,12-Jan,Edmund Brodie,TBA,TBA,Non-Topical Research,,Open,0,50,0
10825,BIOL,8999,6,IND,12-Jan,Barry Condron,TBA,TBA,Non-Topical Research,,Open,0,50,0
10826,BIOL,8999,7,IND,12-Jan,Robert Cox,TBA,TBA,Non-Topical Research,,Open,0,50,0
10827,BIOL,8999,8,IND,12-Jan,Claire Cronmiller,TBA,TBA,Non-Topical Research,,Open,0,50,0
10828,BIOL,8999,9,IND,12-Jan,Christopher Deppmann,TBA,TBA,Non-Topical Research,,Open,0,50,0
10829,BIOL,8999,11,IND,12-Jan,Laura Galloway,TBA,TBA,Non-Topical Research,,Open,0,50,0
10830,BIOL,8999,12,IND,12-Jan,Roberto Gomez,TBA,TBA,Non-Topical Research,,Open,0,50,0
10831,BIOL,8999,13,IND,12-Jan,Robert Grainger,TBA,TBA,Non-Topical Research,,Open,0,50,0
10832,BIOL,8999,15,IND,12-Jan,Jay Hirsh,TBA,TBA,Non-Topical Research,,Open,0,50,0
10833,BIOL,8999,16,IND,12-Jan,Masashi Kawasaki,TBA,TBA,Non-Topical Research,,Open,0,50,0
10834,BIOL,8999,17,IND,12-Jan,Raymond Keller,TBA,TBA,Non-Topical Research,,Open,0,50,0
10835,BIOL,8999,18,IND,12-Jan,Mark Kopeny,TBA,TBA,Non-Topical Research,,Open,0,50,0
10836,BIOL,8999,19,IND,12-Jan,Keith Kozminski,TBA,TBA,Non-Topical Research,,Open,0,50,0
10837,BIOL,8999,21,IND,12-Jan,Sarah Kucenas,TBA,TBA,Non-Topical Research,,Open,0,50,0
10838,BIOL,8999,23,IND,12-Jan,Deforest Mellon,TBA,TBA,Non-Topical Research,,Open,0,50,0
10839,BIOL,8999,24,IND,12-Jan,Michael Menaker,TBA,TBA,Non-Topical Research,,Open,0,50,0
10840,BIOL,8999,25,IND,12-Jan,Ignacio Provencio,TBA,TBA,Non-Topical Research,,Open,0,50,0
10841,BIOL,8999,26,IND,12-Jan,Deborah Roach,TBA,TBA,Non-Topical Research,,Open,0,50,0
10842,BIOL,8999,27,IND,12-Jan,Dorothy Schafer,TBA,TBA,Non-Topical Research,,Open,0,50,0
10843,BIOL,8999,28,IND,12-Jan,Douglas Taylor,TBA,TBA,Non-Topical Research,,Open,0,50,0
11427,BIOL,8999,32,IND,12-Jan,Mike Wormington,TBA,TBA,Non-Topical Research,,Open,0,50,0
11489,BIOL,8999,33,IND,12-Jan,Martin Wu,TBA,TBA,Non-Topical Research,,Open,0,50,0
13839,BIOL,8999,34,IND,12-Jan,John Campbell,TBA,TBA,Non-Topical Research,,Open,0,50,0
18321,BIOL,8999,35,IND,12-Jan,Amanda Gibson,TBA,TBA,Non-Topical Research,,Open,0,50,0
10058,BIOL,9920,1,IND,3,Robert Cox,TBA,TBA,Rotation Research,,Open,0,30,0
10059,BIOL,9998,1,IND,12-Jan,Paul Adler,TBA,TBA,"Non-Topical Research, Preparation for Doctoral Research",,Open,0,40,0
10844,BIOL,9998,2,IND,12-Jan,Janis Antonovics,TBA,TBA,"Non-Topical Research, Preparation for Doctoral Research",,Open,0,40,0
10845,BIOL,9998,3,IND,12-Jan,George Bloom,TBA,TBA,"Non-Topical Research, Preparation for Doctoral Research",,Open,0,40,0
10846,BIOL,9998,4,IND,12-Jan,Edmund Brodie,TBA,TBA,"Non-Topical Research, Preparation for Doctoral Research",,Open,0,40,0
10847,BIOL,9998,5,IND,12-Jan,Barry Condron,TBA,TBA,"Non-Topical Research, Preparation for Doctoral Research",,Open,0,40,0
10848,BIOL,9998,6,IND,12-Jan,Robert Cox,TBA,TBA,"Non-Topical Research, Preparation for Doctoral Research",,Open,0,40,0
10849,BIOL,9998,7,IND,12-Jan,Claire Cronmiller,TBA,TBA,"Non-Topical Research, Preparation for Doctoral Research",,Open,0,40,0
10850,BIOL,9998,8,IND,12-Jan,Christopher Deppmann,TBA,TBA,"Non-Topical Research, Preparation for Doctoral Research",,Open,0,40,0
13884,BIOL,9998,9,IND,12-Jan,Sarah Siegrist,TBA,TBA,"Non-Topical Research, Preparation for Doctoral Research",,Open,0,40,0
10851,BIOL,9998,10,IND,12-Jan,Laura Galloway,TBA,TBA,"Non-Topical Research, Preparation for Doctoral Research",,Open,0,40,0
10852,BIOL,9998,11,IND,12-Jan,Robert Grainger,TBA,TBA,"Non-Topical Research, Preparation for Doctoral Research",,Open,0,40,0
10853,BIOL,9998,13,IND,12-Jan,Jay Hirsh,TBA,TBA,"Non-Topical Research, Preparation for Doctoral Research",,Open,0,40,0
10854,BIOL,9998,14,IND,12-Jan,Masashi Kawasaki,TBA,TBA,"Non-Topical Research, Preparation for Doctoral Research",,Open,0,40,0
10855,BIOL,9998,15,IND,12-Jan,Raymond Keller,TBA,TBA,"Non-Topical Research, Preparation for Doctoral Research",,Open,0,40,0
10856,BIOL,9998,16,IND,12-Jan,Mark Kopeny,TBA,TBA,"Non-Topical Research, Preparation for Doctoral Research",,Open,0,40,0
10857,BIOL,9998,17,IND,12-Jan,Keith Kozminski,TBA,TBA,"Non-Topical Research, Preparation for Doctoral Research",,Open,0,40,0
10858,BIOL,9998,19,IND,12-Jan,Sarah Kucenas,TBA,TBA,"Non-Topical Research, Preparation for Doctoral Research",,Open,0,40,0
10859,BIOL,9998,21,IND,12-Jan,Deforest Mellon,TBA,TBA,"Non-Topical Research, Preparation for Doctoral Research",,Open,0,40,0
10860,BIOL,9998,22,IND,12-Jan,Michael Menaker,TBA,TBA,"Non-Topical Research, Preparation for Doctoral Research",,Open,0,40,0
10861,BIOL,9998,23,IND,12-Jan,Ignacio Provencio,TBA,TBA,"Non-Topical Research, Preparation for Doctoral Research",,Open,0,40,0
10862,BIOL,9998,24,IND,12-Jan,Deborah Roach,TBA,TBA,"Non-Topical Research, Preparation for Doctoral Research",,Open,0,40,0
10863,BIOL,9998,25,IND,12-Jan,Dorothy Schafer,TBA,TBA,"Non-Topical Research, Preparation for Doctoral Research",,Open,0,40,0
10864,BIOL,9998,26,IND,12-Jan,Douglas Taylor,TBA,TBA,"Non-Topical Research, Preparation for Doctoral Research",,Open,0,40,0
10865,BIOL,9998,27,IND,12-Jan,Michael Timko,TBA,TBA,"Non-Topical Research, Preparation for Doctoral Research",,Open,0,40,0
10866,BIOL,9998,30,IND,12-Jan,Mike Wormington,TBA,TBA,"Non-Topical Research, Preparation for Doctoral Research",,Open,0,40,0
11490,BIOL,9998,31,IND,12-Jan,Martin Wu,TBA,TBA,"Non-Topical Research, Preparation for Doctoral Research",,Open,0,40,0
12896,BIOL,9998,32,IND,12-Jan,Jennifer Guler,TBA,TBA,"Non-Topical Research, Preparation for Doctoral Research",,Open,0,40,0
12920,BIOL,9998,33,IND,12-Jan,Eyleen O'Rourke,TBA,TBA,"Non-Topical Research, Preparation for Doctoral Research",,Open,0,40,0
13828,BIOL,9998,34,IND,12-Jan,Xiaorong Liu,TBA,TBA,"Non-Topical Research, Preparation for Doctoral Research",,Open,0,40,0
18322,BIOL,9998,35,IND,12-Jan,Amanda Gibson,TBA,TBA,"Non-Topical Research, Preparation for Doctoral Research",,Open,0,40,0
10060,BIOL,9999,1,IND,12-Jan,Paul Adler,TBA,TBA,Non-Topical Research,,Open,0,50,0
10867,BIOL,9999,2,IND,12-Jan,Janis Antonovics,TBA,TBA,Non-Topical Research,,Open,0,50,0
10868,BIOL,9999,4,IND,12-Jan,George Bloom,TBA,TBA,Non-Topical Research,,Open,0,50,0
10869,BIOL,9999,5,IND,12-Jan,Edmund Brodie,TBA,TBA,Non-Topical Research,,Open,0,50,0
10870,BIOL,9999,6,IND,12-Jan,Barry Condron,TBA,TBA,Non-Topical Research,,Open,0,50,0
10871,BIOL,9999,7,IND,12-Jan,Robert Cox,TBA,TBA,Non-Topical Research,,Open,0,50,0
10872,BIOL,9999,8,IND,12-Jan,Claire Cronmiller,TBA,TBA,Non-Topical Research,,Open,0,50,0
10873,BIOL,9999,9,IND,12-Jan,Christopher Deppmann,TBA,TBA,Non-Topical Research,,Open,0,50,0
10874,BIOL,9999,11,IND,12-Jan,Laura Galloway,TBA,TBA,Non-Topical Research,,Open,0,50,0
10875,BIOL,9999,12,IND,12-Jan,Roberto Gomez,TBA,TBA,Non-Topical Research,,Open,0,50,0
10876,BIOL,9999,13,IND,12-Jan,Robert Grainger,TBA,TBA,Non-Topical Research,,Open,0,50,0
10877,BIOL,9999,15,IND,12-Jan,Jay Hirsh,TBA,TBA,Non-Topical Research,,Open,0,50,0
10878,BIOL,9999,16,IND,12-Jan,Masashi Kawasaki,TBA,TBA,Non-Topical Research,,Open,0,50,0
10879,BIOL,9999,17,IND,12-Jan,Raymond Keller,TBA,TBA,Non-Topical Research,,Open,0,50,0
10880,BIOL,9999,18,IND,12-Jan,Mark Kopeny,TBA,TBA,Non-Topical Research,,Open,0,50,0
10881,BIOL,9999,19,IND,12-Jan,Keith Kozminski,TBA,TBA,Non-Topical Research,,Open,0,50,0
11504,BIOL,9999,20,IND,12-Jan,Sarah Kucenas,TBA,TBA,Non-Topical Research,,Open,0,50,0
10882,BIOL,9999,21,IND,12-Jan,Manuel Lerdau,TBA,TBA,Non-Topical Research,,Open,0,50,0
10883,BIOL,9999,23,IND,12-Jan,Deforest Mellon,TBA,TBA,Non-Topical Research,,Open,0,50,0
10884,BIOL,9999,24,IND,12-Jan,Michael Menaker,TBA,TBA,Non-Topical Research,,Open,0,50,0
10885,BIOL,9999,25,IND,12-Jan,Ignacio Provencio,TBA,TBA,Non-Topical Research,,Open,0,50,0
10886,BIOL,9999,26,IND,12-Jan,Deborah Roach,TBA,TBA,Non-Topical Research,,Open,0,50,0
10887,BIOL,9999,27,IND,12-Jan,Dorothy Schafer,TBA,TBA,Non-Topical Research,,Open,0,50,0
10888,BIOL,9999,28,IND,12-Jan,Douglas Taylor,TBA,TBA,Non-Topical Research,,Open,0,50,0
10889,BIOL,9999,29,IND,12-Jan,Michael Timko,TBA,TBA,Non-Topical Research,,Open,0,50,0
10898,BIOL,9999,30,IND,12-Jan,Mike Wormington,TBA,TBA,Non-Topical Research,,Open,0,50,0
11316,BIOL,9999,31,IND,12-Jan,Martin Wu,TBA,TBA,Non-Topical Research,,Open,0,50,0
11735,BIOL,9999,32,IND,12-Jan,Sarah Siegrist,TBA,TBA,Non-Topical Research,,Open,0,50,0
11977,BIOL,9999,33,IND,12-Jan,Ali Guler,TBA,TBA,Non-Topical Research,,Open,0,50,0
11978,BIOL,9999,34,IND,12-Jan,Jennifer Guler,TBA,TBA,Non-Topical Research,,Open,0,50,0
11980,BIOL,9999,35,IND,12-Jan,Eyleen O'Rourke,TBA,TBA,Non-Topical Research,,Open,0,50,0
11981,BIOL,9999,36,IND,12-Jan,TBA,TBA,TBA,Non-Topical Research,,Open,0,50,0
11982,BIOL,9999,37,IND,12-Jan,Cristian Danna,TBA,TBA,Non-Topical Research,,Open,0,50,0
12203,BIOL,9999,38,IND,12-Jan,Alan Bergland,TBA,TBA,Non-Topical Research,,Open,0,50,0
12915,BIOL,9999,39,IND,12-Jan,David Parichy,TBA,TBA,Non-Topical Research,,Open,0,50,0
13838,BIOL,9999,40,IND,12-Jan,John Campbell,TBA,TBA,Non-Topical Research,,Open,0,50,0
18323,BIOL,9999,41,IND,12-Jan,Amanda Gibson,TBA,TBA,Non-Topical Research,,Open,0,50,0
17428,BIOP,5050,1,Lecture,1,Robert Nakamoto,Fr 12:00pm - 12:50pm,TBA,Biophysical Literature,,Open,0,30,0
17429,BIOP,7051,2,IND,5-Jan,Robert Nakamoto,TBA,TBA,Directed Reading,,Open,0,30,0
17636,BIOP,8020,1,Lecture,2,Jochen Zimmer,Tu 4:00pm - 5:30pm,Contact Department,Macromolecular Crystallography I,,Open,0,30,0
17637,BIOP,8021,1,Lecture,2,Jochen Zimmer,Tu 4:00pm - 5:30pm,Contact Department,Macromolecular Crystallography II,,Open,0,30,0
17430,BIOP,8201,1,Lecture,2,Robert Nakamoto,TuTh 9:30am - 10:45am,TBA,Biophysical Principles I,,Open,1,20,0
17431,BIOP,8301,1,Lecture,2,Robert Nakamoto,TuTh 9:30am - 10:45am,TBA,Biophysical Principles II,,Open,0,20,0
17432,BIOP,9995,1,IND,12-Mar,Lukas Tamm,TBA,TBA,Biophysics Research,,Open,0,20,0
17563,BIOP,9995,2,IND,12-Mar,Huiwang Ai,TBA,TBA,Biophysics Research,,Open,0,30,0
17638,BIOP,9995,3,IND,12-Mar,Wladek Minor,TBA,TBA,Biophysics Research,,Open,0,30,0
17674,BIOP,9995,4,IND,12-Mar,John Bushweller,TBA,TBA,Biophysics Research,,Open,0,30,0
18415,BIOP,9999,1,IND,12-Jan,Huiwang Ai,TBA,TBA,Non-Topical Research,,Open,0,30,0
17433,BIOP,9999,2,IND,12-Jan,Wladek Minor,TBA,TBA,Non-Topical Research,,Open,0,30,0
17434,BIOP,9999,3,IND,12-Jan,Lukas Tamm,TBA,TBA,Non-Topical Research,,Open,0,30,0
18416,BIOP,9999,4,IND,12-Jan,Edward Egelman,TBA,TBA,Non-Topical Research,,Open,0,30,0
17435,BIOP,9999,5,IND,12-Jan,Mark Yeager,TBA,TBA,Non-Topical Research,,Open,0,30,0
17436,BIOP,9999,6,IND,12-Jan,Jochen Zimmer,TBA,TBA,Non-Topical Research,,Open,0,30,0
17437,BIOP,9999,8,IND,12-Jan,Owen Pornillos,TBA,TBA,Non-Topical Research,,Open,0,30,0
17438,BIOP,9999,9,IND,12-Jan,Linda Columbus,TBA,TBA,Non-Topical Research,,Open,0,30,0
17668,BIOP,9999,10,IND,12-Jan,Andreas Gahlmann,TBA,TBA,Non-Topical Research,,Open,0,30,0
19774,BME,1501,1,Lecture,1,Brian Helmke,Mo 12:00pm - 12:50pm,McLeod Hall 2007,Special Topics,Clinical Applications of Biomedical Engineering,Open,0,60,0
19775,BME,1501,2,Lecture,1,Shayn Peirce-Cottler,Tu 5:00pm - 5:50pm,Biomed Engr & Med Sci 1041,Special Topics,Agent Based Modeling,Open,1,20,0
19778,BME,1501,3,Lecture,1,William Guilford,Tu 6:00pm - 6:50pm,Biomed Engr & Med Sci 1041,Special Topics,Innovation in Prosthetic Devices,Open,1,30,0
15488,BME,2000,1,Lecture,3,William Guilford,TuTh 3:30pm - 4:45pm,Biomed Engr & Med Sci 1041,Biomedical Engineering Design and Discovery,,Open,1,75,0
16033,BME,2101,1,Lecture,3,William Guilford,TuTh 11:00am - 12:15pm,Biomed Engr & Med Sci 1041,Physiology I for Engineers,,Open,1,75,0
16219,BME,2102,1,Lecture,3,George Christ,TuTh 12:30pm - 1:45pm,PINN Hall 1005,Physiology II,,Open,7,70,0
19443,BME,2102,2,Lecture,3,Richard Price,MoWe 9:30am - 10:45am,PINN Hall 1005,Physiology II,,Open,21,70,0
15165,BME,2104,1,Lecture,3,Eli Zunder,TuTh 2:00pm - 3:15pm,Biomed Engr & Med Sci 1041,Cell and Molecular Biology for Engineers,,Open,2,70,0
15166,BME,2220,1,Lecture,3,Silvia Blemker,TuTh 9:30am - 10:45am,PINN Hall 1005,Biomechanics,,Open,3,70,0
16034,BME,2315,1,Lecture,3,Gustavo Rohde,TuTh 12:30pm - 1:45pm,Biomed Engr & Med Sci 1041,Computational Biomedical Engineering,,Open,2,70,0
15797,BME,3030,1,Lecture,3,"David Chen, Tom Barker",Fr 9:00am - 12:00pm,Biomed Engr & Med Sci 1041,Design and Innovation in Medicine,,Open,17,45,0
15169,BME,3090,100,Lecture,4,"Alexander Klibanov, Shannon Barker, Timothy Allen",Mo 11:00am - 11:50am,PINN Hall 1005,Biomedical Engineering Integrated Design and Experimental Analysis (IDEAS) Laboratory II,,Open,25,120,0
15170,BME,3090,101,Laboratory,0,Timothy Allen,Tu 2:00pm - 6:00pm,Thornton Hall Room A006,Biomedical Engineering Integrated Design and Experimental Analysis (IDEAS) Laboratory II,,Open,11,32,0
15171,BME,3090,102,Laboratory,0,Timothy Allen,We 2:00pm - 6:00pm,Thornton Hall Room A006,Biomedical Engineering Integrated Design and Experimental Analysis (IDEAS) Laboratory II,,Open,6,32,0
15172,BME,3090,103,Laboratory,0,Timothy Allen,Th 2:00pm - 6:00pm,Thornton Hall Room A006,Biomedical Engineering Integrated Design and Experimental Analysis (IDEAS) Laboratory II,,Open,8,32,0
19446,BME,3090,104,Laboratory,0,Timothy Allen,Fr 9:30am - 1:30pm,Thornton Hall Room A006,Biomedical Engineering Integrated Design and Experimental Analysis (IDEAS) Laboratory II,,Open,0,32,0
15167,BME,3240,1,Lecture,3,Brian Helmke,TuTh 9:30am - 10:45am,Thornton Hall A120,Biotransport,,Open,12,75,0
16035,BME,3310,1,Lecture,3,John Hossack,MoWe 12:30pm - 1:45pm,Biomed Engr & Med Sci 1041,Biomedical Systems Analysis and Design,,Open,10,75,0
15168,BME,3636,1,Lecture,3,William Levy,We 3:30pm - 6:30pm,Mechanical Engr Bldg 214,Neural Network Models of Cognition and Brain Computation,,Open,9,10,0
15173,BME,4064,1,Lecture,3,Shannon Barker,TuTh 11:00am - 12:15pm,PINN Hall 1005,Biomedical Engineering Capstone Design II,,Open,83,110,0
16153,BME,4417,1,Lecture,3,Steven Caliari,MoWe 2:00pm - 3:15pm,Chemical Engineering Bldg 005,Tissue Engineering,,Open,23,70,0
15906,BME,4550,1,Lecture,3,Kevin Janes,MoWe 3:30pm - 4:45pm,Biomed Engr & Med Sci 1041,Special Topics in Biomedical Engineering,Quantitative Biological Reasoning,Open,5,30,0
16210,BME,4550,2,Lecture,3,Kristen Naegle,TuTh 2:00pm - 3:15pm,PINN Hall 1005,Special Topics in Biomedical Engineering,Molecular Data Science,Wait List,15,55,8
19460,BME,4550,3,Lecture,3,Mete Civelek,TuTh 9:30am - 10:45am,Biomed Engr & Med Sci 1041,Special Topics in Biomedical Engineering,Biomedical Engineering Data Science,Open,40,50,0
19447,BME,4783,1,Lecture,3,"Frederick Epstein, John Hossack",MoWe 2:00pm - 3:15pm,Biomed Engr & Med Sci 1041,Medical Imaging Modalities,,Open,10,30,0
15801,BME,4995,1,IND,3-Jan,George Christ,TBA,TBA,Biomedical Engineering Advanced Projects,,Open,0,10,0
15434,BME,4995,2,IND,3-Jan,Kimberly Kelly,TBA,TBA,Biomedical Engineering Advanced Projects,,Open,0,10,0
16071,BME,4995,3,IND,3-Jan,Tom Barker,TBA,TBA,Biomedical Engineering Advanced Projects,,Open,1,10,0
15446,BME,4995,4,IND,3-Jan,Kevin Janes,TBA,TBA,Biomedical Engineering Advanced Projects,,Open,0,10,0
15447,BME,4995,5,IND,3-Jan,Jason Papin,TBA,TBA,Biomedical Engineering Advanced Projects,,Open,0,10,0
15449,BME,4995,6,IND,3-Jan,Jeffrey Holmes,TBA,TBA,Biomedical Engineering Advanced Projects,,Open,0,10,0
16043,BME,4995,7,IND,3-Jan,Kyle Lampe,TBA,TBA,Biomedical Engineering Advanced Projects,,Open,0,10,0
16277,BME,4995,8,IND,3-Jan,Silvia Blemker,TBA,TBA,Biomedical Engineering Advanced Projects,,Open,0,10,0
15475,BME,4995,9,IND,3-Jan,Richard Price,TBA,TBA,Biomedical Engineering Advanced Projects,,Open,0,10,0
16369,BME,4995,10,IND,3-Jan,Shawn Russell,TBA,TBA,Biomedical Engineering Advanced Projects,,Open,0,10,0
15959,BME,4995,11,IND,3-Jan,Eli Zunder,TBA,TBA,Biomedical Engineering Advanced Projects,,Open,0,10,0
16373,BME,4995,12,IND,3-Jan,Matthew Lazzara,TBA,TBA,Biomedical Engineering Advanced Projects,,Open,0,30,0
16408,BME,4995,13,IND,3-Jan,Chris Highley,TBA,TBA,Biomedical Engineering Advanced Projects,,Open,0,30,0
16062,BME,4995,14,IND,3-Jan,Donald Griffin,TBA,TBA,Biomedical Engineering Advanced Projects,,Open,0,10,0
15493,BME,4995,15,IND,3-Jan,Brian Helmke,TBA,TBA,Biomedical Engineering Advanced Projects,,Open,1,10,0
15511,BME,4995,16,IND,3-Jan,Jeffrey Saucerman,TBA,TBA,Biomedical Engineering Advanced Projects,,Open,0,10,0
19985,BME,4995,17,IND,3-Jan,Kristen Naegle,TBA,TBA,Biomedical Engineering Advanced Projects,,Open,0,30,0
20104,BME,4995,18,IND,3-Jan,Steven Caliari,TBA,TBA,Biomedical Engineering Advanced Projects,,Open,0,30,0
15798,BME,6030,1,Lecture,3,"David Chen, Tom Barker",Fr 9:00am - 12:00pm,Biomed Engr & Med Sci 1041,Design and Innovation in Medicine,,Open,0,45,0
19846,BME,6060,1,Lecture,3,"David Chen, Jonathan Rosen",Mo 12:30pm - 1:00pm,TBA,Biomedical Innovation,,Open,7,8,0
15617,BME,6102,1,Lecture,3,Timothy Allen,MoWe 9:30am - 10:45am,Biomed Engr & Med Sci 1041,Engineering Physiology II,,Open,19,40,0
15489,BME,6311,1,Lecture,3,Craig Meyer,MoWe 11:00am - 12:15pm,Biomed Engr & Med Sci 1041,BME Measurement Principles,,Open,18,40,0
16208,BME,6550,1,Lecture,3,Steven Caliari,MoWe 2:00pm - 3:15pm,Chemical Engineering Bldg 005,Special Topics in Biomedical Engineering,Tissue Engineering,Open,1,70,0
16209,BME,6550,2,Lecture,3,Kristen Naegle,TuTh 2:00pm - 3:15pm,PINN Hall 1005,Special Topics in Biomedical Engineering,Molecular Data Science,Open,3,55,0
15907,BME,7370,1,Lecture,3,Kevin Janes,MoWe 3:30pm - 4:45pm,Biomed Engr & Med Sci 1041,Quantitative Biological Reasonsing,,Open,6,30,0
19591,BME,8315,1,Lecture,3,Staff,TuTh 9:30am - 10:45am,Biomed Engr & Med Sci 2005,Systems Bioengineering and Multi-Scale Models,,Open,4,25,0
19649,BME,8783,1,Lecture,3,Grady Miller,TuTh 11:00am - 12:15pm,Biomed Engr & Med Sci 2005,Advanced Magnetic Resonance Imaging,,Open,3,25,0
16419,BME,8999,1,IND,12-Jan,Coleen Mcnamara,TBA,TBA,Master's Research,,Open,0,30,0
15338,BME,8999,2,IND,12-Jan,Silvia Blemker,TBA,TBA,Master's Research,,Open,0,30,0
15633,BME,8999,3,IND,12-Jan,Song Hu,TBA,TBA,Master's Research,,Open,0,5,0
15339,BME,8999,4,IND,12-Jan,Frederick Epstein,TBA,TBA,Master's Research,,Open,1,30,0
15340,BME,8999,5,IND,12-Jan,Brent French,TBA,TBA,Master's Research,,Open,1,30,0
15634,BME,8999,6,IND,12-Jan,Jaime Mata,TBA,TBA,Master's Research,,Open,0,5,0
15341,BME,8999,7,IND,12-Jan,William Guilford,TBA,TBA,Master's Research,,Open,0,30,0
15342,BME,8999,8,IND,12-Jan,Brian Helmke,TBA,TBA,Master's Research,,Open,0,30,0
15343,BME,8999,9,IND,12-Jan,Jeffrey Holmes,TBA,TBA,Master's Research,,Open,0,30,0
15344,BME,8999,10,IND,12-Jan,John Hossack,TBA,TBA,Master's Research,,Open,1,30,0
15345,BME,8999,11,IND,12-Jan,Kevin Janes,TBA,TBA,Master's Research,,Open,0,30,0
15346,BME,8999,12,IND,12-Jan,Kimberly Kelly,TBA,TBA,Master's Research,,Open,0,30,0
15638,BME,8999,13,IND,12-Jan,Peter Kasson,TBA,TBA,Master's Research,,Open,0,30,0
16302,BME,8999,14,IND,12-Jan,Steven Caliari,TBA,TBA,Master's Research,,Open,0,30,0
15347,BME,8999,15,IND,12-Jan,Craig Meyer,TBA,TBA,Master's Research,,Open,0,30,0
15348,BME,8999,16,IND,12-Jan,Jason Papin,TBA,TBA,Master's Research,,Open,0,30,0
15349,BME,8999,17,IND,12-Jan,Shayn Peirce-Cottler,TBA,TBA,Master's Research,,Open,0,30,0
15350,BME,8999,18,IND,12-Jan,Richard Price,TBA,TBA,Master's Research,,Open,0,30,0
15351,BME,8999,19,IND,12-Jan,Jeffrey Saucerman,TBA,TBA,Master's Research,,Open,1,30,0
15637,BME,8999,20,IND,12-Jan,Erik Hewlett,TBA,TBA,Master's Research,,Open,0,30,0
15525,BME,8999,21,IND,12-Jan,Mark Williams,TBA,TBA,Master's Research,,Open,0,30,0
15537,BME,8999,22,IND,12-Jan,Michael Salerno,TBA,TBA,Master's Research,,Open,0,30,0
15575,BME,8999,23,IND,12-Jan,Brant Isakson,TBA,TBA,Master's Research,,Open,0,30,0
16305,BME,8999,24,IND,12-Jan,Chongzhi Zang,TBA,TBA,Master's Research,,Open,0,30,0
15748,BME,8999,25,IND,12-Jan,Gregory Gerling,TBA,TBA,Master's Research,,Open,0,30,0
15755,BME,8999,26,IND,12-Jan,George Christ,TBA,TBA,Master's Research,,Open,0,30,0
15803,BME,8999,27,IND,12-Jan,Eli Zunder,TBA,TBA,Master's Research,,Open,0,30,0
15809,BME,8999,28,IND,12-Jan,Shawn Russell,TBA,TBA,Master's Research,,Open,0,30,0
15811,BME,8999,29,IND,12-Jan,Matthew Panzer,TBA,TBA,Master's Research,,Open,0,30,0
15933,BME,8999,30,IND,12-Jan,Grady Miller,TBA,TBA,Master's Research,,Open,0,30,0
15934,BME,8999,31,IND,12-Jan,Tom Barker,TBA,TBA,Master's Research,,Open,0,30,0
15938,BME,8999,32,IND,12-Jan,Kun Qing,TBA,TBA,Master's Research,,Open,0,30,0
15940,BME,8999,33,IND,12-Jan,Nathan Sheffield,TBA,TBA,Master's Research,,Open,0,30,0
15962,BME,8999,34,IND,12-Jan,Donald Griffin,TBA,TBA,Master's Research,,Open,0,30,0
16095,BME,8999,35,IND,12-Jan,Bryan Berger,TBA,TBA,Master's Research,,Open,0,30,0
16096,BME,8999,36,IND,12-Jan,Gustavo Rohde,TBA,TBA,Master's Research,,Open,0,30,0
16097,BME,8999,37,IND,12-Jan,Mete Civelek,TBA,TBA,Master's Research,,Open,0,30,0
16102,BME,8999,38,IND,12-Jan,Philip Bourne,TBA,TBA,Master's Research,,Open,0,30,0
16128,BME,8999,39,IND,12-Jan,Chris Highley,TBA,TBA,Master's Research,,Open,0,30,0
16296,BME,9999,1,IND,12-Jan,George Christ,TBA,TBA,Dissertation,,Open,0,30,0
15352,BME,9999,2,IND,12-Jan,Stuart Berr,TBA,TBA,Dissertation,,Open,0,30,0
15921,BME,9999,3,IND,12-Jan,Matthew Panzer,TBA,TBA,Dissertation,,Open,0,30,0
16126,BME,9999,4,IND,12-Jan,Bryan Berger,TBA,TBA,Dissertation,,Open,0,30,0
16127,BME,9999,5,IND,12-Jan,Grady Miller,TBA,TBA,Dissertation,,Open,0,30,0
15353,BME,9999,6,IND,12-Jan,Frederick Epstein,TBA,TBA,Dissertation,,Open,0,30,0
15354,BME,9999,7,IND,12-Jan,Brent French,TBA,TBA,Dissertation,,Open,0,30,0
15355,BME,9999,8,IND,12-Jan,William Guilford,TBA,TBA,Dissertation,,Open,0,30,0
15356,BME,9999,9,IND,12-Jan,Brian Helmke,TBA,TBA,Dissertation,,Open,0,30,0
15357,BME,9999,10,IND,12-Jan,Jeffrey Holmes,TBA,TBA,Dissertation,,Open,0,30,0
15358,BME,9999,11,IND,12-Jan,John Hossack,TBA,TBA,Dissertation,,Open,0,30,0
15359,BME,9999,12,IND,12-Jan,Kevin Janes,TBA,TBA,Dissertation,,Open,0,30,0
15360,BME,9999,13,IND,12-Jan,Kimberly Kelly,TBA,TBA,Dissertation,,Open,0,30,0
15361,BME,9999,14,IND,12-Jan,Richard Kent,TBA,TBA,Dissertation,,Open,0,30,0
15362,BME,9999,15,IND,12-Jan,Alexander Klibanov,TBA,TBA,Dissertation,,Open,0,30,0
16264,BME,9999,16,IND,12-Jan,Eli Zunder,TBA,TBA,Dissertation,,Open,0,30,0
16271,BME,9999,17,IND,12-Jan,Nathan Sheffield,TBA,TBA,Dissertation,,Open,0,30,0
